Year,2016,2021,2026,2031,2036
Alpine (S),12578,12928.64823,13126.66193,13321.00111,13506.97212
Ararat (RC),11746.42854,11910.79319,11927.59603,11897.3464,11865.07272
Ballarat (C),103500.3219,113713.758,124628.0694,135437.8141,145926.8522
Banyule (C),127447,133602.2259,139079.6124,144679.0375,150761.1867
Bass Coast (S),33464.85329,37659.05617,41212.01397,44810.26603,48144.92328
Baw Baw (S),49296.20898,55900.15214,62426.70533,69316.76007,75819.33287
Bayside (C),102912,109075.2021,113652.0856,118038.109,122708.0056
Benalla (RC),13981.30099,14164.70138,14331.38291,14498.18216,14659.03354
Boroondara (C),177276,186951.8395,195521.133,204548.5955,213838.0431
Brimbank (C),204190,213356.968,223101.8329,233387.5344,244500.2673
Buloke (S),6284,6071.466993,5741.812598,5392.321176,5015.35933
Campaspe (S),37596.09157,37756.43216,38090.447,38578.04233,39083.54203
Cardinia (S),97572.66007,122700.0755,144557.4415,163331.4955,177867.7996
Casey (C),312789,377523.539,432448.7607,481317.7367,522251.4887
Central Goldfields (S),13085.32485,13377.29309,13629.69562,13893.78937,14133.77423
Colac-Otway (S),21362.8105,21623.82668,21892.28804,22135.8172,22329.56837
Corangamite (S),16240.99767,15807.73667,15438.81194,15166.15965,14891.91811
Darebin (C),155126,169052.3513,182406.0737,196027.7467,210649.4623
East Gippsland (S),45598.54848,48316.51843,50751.83271,53417.54863,55955.48671
Frankston (C),139502,145828.6274,151883.0073,158470.7708,165785.8865
Gannawarra (S),10567.15412,10487.73932,10307.44428,10118.07444,9927.736622
Glen Eira (C),148583,158879.0971,168756.6542,178838.7999,188210.9674
Glenelg (S),19758.61423,19581.59146,19430.92555,19137.9159,18756.80088
Golden Plains (S),22016,24691.16869,27461.31937,30281.30463,33073.25841
Greater Bendigo (C),112270.9489,122241.6048,132972.6928,143510.6058,153758.5318
Greater Dandenong (C),160222,174730.3744,189143.6038,203455.5905,218559.8449
Greater Geelong (C),239529.9127,271254.3487,301563.2452,330720.1664,360244.9861
Greater Shepparton (C),65071.3182,67764.47872,71063.50861,74414.73782,77692.74932
Hepburn (S),15526.87341,16070.55731,16612.26517,17160.43408,17700.35119
Hindmarsh (S),5787.223347,5478.70558,5200.123019,4901.001265,4558.819746
Hobsons Bay (C),93445.0433,99878.13097,107003.9065,113944.1674,120597.8106
Horsham (RC),19884.50598,19993.46705,20215.26188,20426.04996,20598.97424
Hume (C),207038.0268,250522.0394,286531.7296,316240.057,343989.2675
Indigo (S),16165.72844,16884.37095,17428.48195,17977.11091,18515.45876
Kingston (C) (Vic.),158937.6096,168869.4018,179237.224,190598.831,201086.9605
Knox (C),160353.4704,166487.7642,174265.7195,182505.3442,191531.8103
Latrobe (C) (Vic.),74622.36424,76436.12921,78575.90701,80898.8788,83194.52983
